Timestamp,Did you take AP or IB classes in high school?,Which did you take?,Number of AP or IB classes taken,GPA in High School (Non-Weighted),What university/college are you attending?,What year are you?,GPA in College
11/14/2019 7:52:01,Yes,AP,5,3.98,UCSD,Year 3 (Junior),3.956
11/14/2019 8:28:15,Yes,AP,8,4,UCSD,Year 2 (Sophomore),3.925
11/14/2019 8:28:50,Yes,AP,17,4,UCLA,Year 3 (Junior),3.57
11/14/2019 8:34:21,Yes,AP,2,3.9,UCSD,Year 2 (Sophomore),3.84
11/14/2019 8:40:01,Yes,AP,6,4,UCSD,Year 2 (Sophomore),3.8
11/14/2019 8:50:30,Yes,AP,9,3.8,UCSD,Year 2 (Sophomore),3.8
11/14/2019 9:18:08,Yes,AP,6,3.98,UCSD,Year 2 (Sophomore),3.75
11/14/2019 9:20:31,Yes,Both,16,3.64,UCSD,Year 3 (Junior),3.82
11/14/2019 9:44:15,Yes,AP,6,3.8,UCI,Year 3 (Junior),4
11/14/2019 10:50:29,Yes,AP,3,3.6,GWC,Year 3 (Junior),3.9
11/14/2019 10:57:31,Yes,AP,8,3.6,UCSB,Year 1 (Freshman),3.6
11/14/2019 11:25:52,Yes,AP,8,4,UCSD,Year 2 (Sophomore),3.93
11/14/2019 12:11:30,Yes,AP,14,3.8,UCSD,Year 2 (Sophomore),3.85
11/14/2019 12:20:58,Yes,AP,10,3.5,UCSD,Year 2 (Sophomore),3.3
11/14/2019 13:09:28,Yes,AP,1,2.5,Cypress,Year 2 (Sophomore),3.5
11/14/2019 13:56:35,Yes,AP,8,3.94,UCSD,Year 2 (Sophomore),3.96
11/14/2019 14:47:34,Yes,AP,14,3.9,UCSD,Year 2 (Sophomore),3.89
11/14/2019 16:48:44,Yes,AP,9,3.9,UCSD,Year 2 (Sophomore),4
11/14/2019 18:32:27,Yes,AP,1,2.8,OCC,Year 2 (Sophomore),2.5
11/14/2019 18:35:19,Yes,AP,4,3.2,CSULB,Year 2 (Sophomore),1.8
11/14/2019 18:43:55,Yes,AP,5,3.8,CSULB,Year 2 (Sophomore),3.4
11/14/2019 18:59:50,Yes,AP,10,3.8,UCI,Year 2 (Sophomore),2.52
11/14/2019 20:41:04,No,None,0,2.7,GWC,Year 2 (Sophomore),2.4
11/14/2019 21:19:21,AP/IB was not available,None,0,3,GWC,Year 3 (Junior),3
11/14/2019 21:26:13,Yes,AP,4,3.9,CSULB,Year 2 (Sophomore),1.3
11/14/2019 21:29:29,Yes,AP,1,3.8,UCI,Year 2 (Sophomore),3
11/14/2019 22:03:24,No,None,0,2.8,CSULB,Year 2 (Sophomore),2
11/14/2019 22:43:29,Yes,AP,8,3.6,UCSD,Year 4 (Senior),2.9
11/14/2019 23:54:10,Yes,AP,6,3.45,OCC,Year 1 (Freshman),3.7
11/15/2019 2:59:09,Yes,AP,8,3.8,UCSD,Year 4 (Senior),3.6
11/15/2019 12:30:09,Yes,AP,6,3.5,UCSD,Year 2 (Sophomore),2.5
11/15/2019 19:54:47,Yes,AP,9,3.97,UCSD,Year 2 (Sophomore),3.07
11/16/2019 18:31:19,Yes,AP,6,3.9,UCSD,Year 2 (Sophomore),3.5
11/16/2019 18:33:44,Yes,AP,8,4,UCSD,Year 2 (Sophomore),3.46
11/17/2019 3:37:43,Yes,AP,14,3.68,UCSD,Year 2 (Sophomore),3.42
